,Name,First_Price,Price,Away From Center,Type,Rating,Reviews
217,Lux Guesthouse,US$18,US$15,4.5 km from centre,Review score,6.5,49 reviews
218,Hostel Tommy,,US$26,1.6 km from centre,Superb,9.4,278 reviews
219,Union Hotel,,US$81,8.2 km from centre,Fabulous,8.9,7 reviews
220,Charm Hotel,US$51,US$48,3.3 km from centre,Good,7.4,339 reviews
221,Koreana Hotel,,US$161,0.8 km from centre,Very good,8.2,828 reviews
222,Mayfield Hotel Seoul,US$163,US$155,14.6 km from centre,Very good,8.2,412 reviews
223,H Avenue Hotel Dongdaemun Sungshin,US$70,US$67,4.9 km from centre,Very good,8.2,223 reviews
224,MG Hotel,,US$65,0.8 km from centre,Review score,6.8,4 reviews
225,MAYONE HOTEL Myeongdong,US$105,US$100,400 m from centre,Good,7.0,140 reviews
226,Dream House,US$70,US$67,5.8 km from centre,Fabulous,8.8,152 reviews
227,Hamilton Hotel,,US$101,3.2 km from centre,Good,7.9,721 reviews
228,L7 Myeongdong by LOTTE,,US$212,0.5 km from centre,Fabulous,8.6,"1,240 reviews"
229,Sinchon K STAY guesthouse,US$70,US$63,3.9 km from centre,,,
230,8MOTEL,US$47,US$44,2.9 km from centre,Review score,5.5,24 reviews
231,Moxy Seoul Myeongdong,,US$215,150 m from centre,Fabulous,8.8,5 reviews
232,Hotel Skypark Dongdaemun I,,US$73,1.9 km from centre,Very good,8.2,501 reviews
233,Myeongdong Ecohouse,US$55,US$52,0.5 km from centre,Very good,8.0,102 reviews
234,Metro Hotel Myeongdong,,US$149,400 m from centre,Fabulous,8.7,278 reviews
235,HOTEL ANTEROOM SEOUL,,US$103,6.2 km from centre,Very good,8.0,120 reviews
236,Courtyard by Marriott Seoul Namdaemun,,US$249,400 m from centre,Fabulous,8.6,438 reviews
237,Hipzy Guesthouse,,US$51,1.6 km from centre,Good,7.8,124 reviews
238,Hotel Entra Gangnam,US$178,US$125,7.3 km from centre,Good,7.1,130 reviews
239,Mercure Ambassador Seoul Hongdae,,US$269,5.2 km from centre,Superb,9.0,"1,037 reviews"
240,Grand Hyatt Seoul,,US$246,2.8 km from centre,Good,7.9,"1,782 reviews"
241,K-Grand Hostel Gangnam1,US$98,US$57,7.4 km from centre,Review score,6.8,169 reviews
242,Hotel The Designers Hongdae,US$119,US$108,5.7 km from centre,Review score,6.4,223 reviews
243,Novotel Ambassador Seoul Dongdaemun Hotels & Residences,,US$234,2.1 km from centre,Very good,8.2,975 reviews
244,Handpicked Hotel & Collections,,US$67,8 km from centre,Good,7.8,114 reviews
245,G Mini Hotel Dongdaemun,US$49,US$47,4.2 km from centre,Good,7.9,21 reviews
246,Hotel Pharos,US$78,US$74,10.5 km from centre,Very good,8.1,824 reviews
247,OYO Rooftop Hostel,,US$60,0.6 km from centre,Fabulous,8.6,23 reviews
248,Zibro S,US$28,US$24,5.3 km from centre,Fabulous,8.6,153 reviews
249,H hotel Gasan,US$87,US$82,12.3 km from centre,Review score,6.6,20 reviews
250,Sotetsu Fresa Inn Seoul Myeong-dong,US$233,US$126,400 m from centre,Fabulous,8.6,964 reviews
251,Novotel Suites Ambassador Seoul Yongsan,,US$222,3.7 km from centre,Very good,8.4,639 reviews
252,Aloft Seoul Myeongdong,,US$215,50 m from centre,Fabulous,8.7,354 reviews
253,"Josun Palace, a Luxury Collection Hotel, Seoul Gangnam",,US$438,8.4 km from centre,Fabulous,8.6,191 reviews
254,K2 Motel,US$37,US$36,13 km from centre,Review score,6.7,27 reviews
255,Hotel Midcity Myeongdong,,US$109,0.6 km from centre,Fabulous,8.9,158 reviews
256,Nine Tree Hotel Dongdaemun,,US$117,2 km from centre,Fabulous,8.8,"1,004 reviews"
257,Hotel Bernoui Seoul,US$92,US$88,13.9 km from centre,Good,7.5,26 reviews
258,Capace Hotel Gangnam,US$105,US$100,8.5 km from centre,Review score,6.8,64 reviews
259,Prince Hotel,US$62,US$59,9 km from centre,Review score,5.9,24 reviews
260,Hotel Infini,US$69,US$65,12.1 km from centre,Good,7.4,79 reviews
261,Starhostel Dongdaemun Suite,,US$48,2.2 km from centre,Very good,8.4,48 reviews
262,Cocoa Guesthouse,US$163,US$104,5.4 km from centre,Good,7.9,306 reviews
263,G2 Hotel Myeongdong,,US$154,0.8 km from centre,Superb,9.0,241 reviews
264,New World Hotel,,US$52,2.1 km from centre,Review score,5.9,24 reviews
265,Royal Hotel Seoul,,US$212,450 m from centre,Very good,8.3,785 reviews
266,Hotel Samjung,,US$86,7.6 km from centre,Good,7.6,80 reviews
267,Hongdae Style Guesthouse,US$120,US$114,5.3 km from centre,Exceptional,9.6,72 reviews
268,Andaz Seoul Gangnam,US$297,US$267,5.8 km from centre,Fabulous,8.7,406 reviews
269,Hotel Crescendo Seoul,,US$101,8.1 km from centre,Good,7.2,220 reviews
270,Hotel Gaon Seoul Dongdaemun,US$62,US$59,2.9 km from centre,Review score,6.3,88 reviews
271,Hotel Unique by Foret,,US$42,8.5 km from centre,Good,7.1,46 reviews
272,Hongdae Jin's Paradise,,US$27,5.3 km from centre,Exceptional,9.6,11 reviews
273,The Ambassador Seoul - A Pullman Hotel,,US$226,1.9 km from centre,Very good,8.5,110 reviews
274,JUNIBINO Hotel,,US$89,6.4 km from centre,Fabulous,8.8,52 reviews
275,H Avenue Hotel Idae Shinchon,,US$74,3.5 km from centre,Good,7.8,409 reviews
276,LACOZi STAY,US$155,US$147,9.3 km from centre,Very good,8.5,75 reviews
277,Hilton Garden Inn Seoul Gangnam,,US$215,9.6 km from centre,Fabulous,8.7,236 reviews
278,Hill House Myeongdong,,US$72,0.6 km from centre,Good,7.5,61 reviews
