,Name,First_Price,Price,Away From Center,Type,Rating,Reviews
135,Travely Hotel Gapyeong,"BDT 17,886","BDT 12,520",,Fabulous,8.8,50 reviews
136,Carlton Hotel,,"BDT 4,872",,,,
137,Motel View,,"BDT 4,466",,,,
138,에코이글루,,"BDT 22,734",,,,
139,Billy Pool Lamping,,"BDT 21,029",,,,
140,Hotel Ritz,,"BDT 9,500",,Good,7.7,3 reviews
141,Solnanggu Pension,,"BDT 8,119",,Fabulous,8.9,12 reviews
142,Pension Forest,,"BDT 33,938",,,,
143,Boutique Hotel XYM,,"BDT 3,654",,,,
144,Humphreys Vintage,"BDT 8,706","BDT 6,965",,,,
145,NossToss,,"BDT 97,431",,Exceptional 10,,8 external reviews
146,Laria Hotel,,"BDT 3,897",,,,
147,Yongin Avenue Hotel,,"BDT 4,060",,Review score,5.6,8 reviews
148,The Heaven Hotel & Resort,,"BDT 56,835",,,,
149,Yoon and Park Pension,,"BDT 17,050",,,,
150,Walker Camping,,"BDT 26,306",,,,
151,Sunrise Pension,,"BDT 8,931",,Review score,5.4,8 reviews
152,Plum Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""e3705bd9-db84-488d-9255-a2f5479e7756"")>",,Review score,5.6,9 reviews
153,Bucheon Stay and Able Pension,,"BDT 21,435",,,,
154,Walker Camping,,"BDT 26,306",,,,
155,Sunrise Pension,,"BDT 8,931",,Review score,5.4,8 reviews
156,Plum Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""a83b3d29-ad83-43ae-82af-9f8b873a8c65"")>",,Review score,5.6,9 reviews
157,Bucheon Stay and Able Pension,,"BDT 21,435",,,,
158,Walker Camping,,"BDT 26,306",,,,
159,Sunrise Pension,,"BDT 8,931",,Review score,5.4,8 reviews
160,Plum Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""cea4fcd0-1b01-4c8e-8ad5-93b33e4173a2"")>",,Review score,5.6,9 reviews
161,Bucheon Stay and Able Pension,,"BDT 21,435",,,,
162,Walker Camping,,"BDT 26,306",,,,
163,Sunrise Pension,,"BDT 8,931",,Review score,5.4,8 reviews
164,Plum Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""ce05df63-39ab-4268-9f61-bcf0de05efbd"")>",,Review score,5.6,9 reviews
165,Bucheon Stay and Able Pension,,"BDT 21,435",,,,
166,Walker Camping,,"BDT 26,306",,,,
167,Sunrise Pension,,"BDT 8,931",,Review score,5.4,8 reviews
168,Plum Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""bf13994b-6426-4451-a7b0-347d3c4da482"")>",,Review score,5.6,9 reviews
169,Bucheon Stay and Able Pension,,"BDT 21,435",,,,
170,Walker Camping,,"BDT 26,306",,,,
171,Sunrise Pension,,"BDT 8,931",,Review score,5.4,8 reviews
172,Plum Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""c00e9187-a510-4a32-a7b7-3d29604e4748"")>",,Review score,5.6,
